"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"121898","03-07-26 05:00","World","World Cup - Final phase","2026","Switzerland","Algeria","45","55","41","59","49","51","11","8","4","5","7","3","5","2","2","2","3","0","4","3","2","2","2","1"
"121899","03-07-26 01:00","World","World Cup - Final phase","2026","Portugal","Croatia","60","40","68","32","52","48","15","13","9","3","6","10","3","6","1","0","2","6","8","5","4","2","4","3"
"121900","02-07-26 21:00","World","World Cup - Final phase","2026","Spain","Austria","64","36","64","36","65","35","23","5","11","2","12","3","10","0","6","0","4","0","6","4","3","1","3","3"
"121894","02-07-26 02:00","World","World Cup - Final phase","2026","USA","Bosnia & Herzegovina","48","52","62","38","34","66","8","10","5","1","3","9","2","3","1","1","1","2","4","4","3","0","1","4"
"121895","01-07-26 22:00","World","World Cup - Final phase","2026","Belgium","Senegal","52","48","51","49","55","45","16","13","5","7","11","6","4","4","2","3","2","1","8","8","2","4","6","4"
"121896","01-07-26 18:00","World","World Cup - Final phase","2026","England","D.R. Congo","60","40","59","41","60","40","16","7","8","3","8","4","7","2","4","1","3","1","6","3","1","2","5","1"
"121891","01-07-26 03:00","World","World Cup - Final phase","2026","Mexico","Ecuador","43","57","56","44","31","69","15","7","10","2","5","5","3","1","2","1","1","0","9","5","6","1","3","4"
"121892","30-06-26 23:00","World","World Cup - Final phase","2026","France","Sweden","61","39","71","29","53","47","25","8","15","3","10","5","12","3","6","1","6","2","9","4","7","2","2","2"
"121893","30-06-26 19:00","World","World Cup - Final phase","2026","Ivory Coast","Norway","47","53","44","56","50","50","14","9","5","6","9","3","5","4","1","2","4","2","9","2","4","1","5","1"
"121888","30-06-26 03:00","World","World Cup - Final phase","2026","Netherlands","Morocco","30","70","50","50","21","79","6","10","3","4","3","6","2","4","0","2","2","2","1","4","1","2","0","2"
"121889","29-06-26 22:30","World","World Cup - Final phase","2026","Germany","Paraguay","76","24","79","21","73","27","14","7","5","3","9","4","3","3","0","2","3","1","5","2","4","0","1","2"
"121890","29-06-26 19:00","World","World Cup - Final phase","2026","Brazil","Japan","69","31","68","32","70","30","19","5","8","4","11","1","7","2","2","1","5","1","6","1","2","1","4","0"
"121887","28-06-26 21:00","World","World Cup - Final phase","2026","South Africa","Canada","58","42","55","45","61","39","6","12","3","7","3","5","1","7","1","4","0","3","4","5","1","3","3","2"
