"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"121898","03-07-26 05:00","World","World Cup - Final phase","2026","Switzerland","Algeria","4","2","2","1","2","1","0","2","0","1","0","1"
"121899","03-07-26 01:00","World","World Cup - Final phase","2026","Portugal","Croatia","9","5","6","0","3","5","1","2","1","0","0","2"
"121900","02-07-26 21:00","World","World Cup - Final phase","2026","Spain","Austria","9","0","6","0","3","0","0","1","0","0","0","1"
"121894","02-07-26 02:00","World","World Cup - Final phase","2026","USA","Bosnia & Herzegovina","4","3","3","2","1","1","0","1","0","0","0","1"
"121895","01-07-26 22:00","World","World Cup - Final phase","2026","Belgium","Senegal","4","1","2","1","2","0","1","1","0","0","1","1"
"121896","01-07-26 18:00","World","World Cup - Final phase","2026","England","D.R. Congo","5","3","2","1","3","2","1","1","1","1","0","0"
"121891","01-07-26 03:00","World","World Cup - Final phase","2026","Mexico","Ecuador","3","8","1","5","2","3","0","3","0","1","0","2"
"121892","30-06-26 23:00","World","World Cup - Final phase","2026","France","Sweden","9","1","6","0","3","1","0","0","0","0","0","0"
"121893","30-06-26 19:00","World","World Cup - Final phase","2026","Ivory Coast","Norway","14","3","9","2","5","1","0","1","0","1","0","0"
"121888","30-06-26 03:00","World","World Cup - Final phase","2026","Netherlands","Morocco","5","7","4","2","1","5","0","1","0","0","0","1"
"121889","29-06-26 22:30","World","World Cup - Final phase","2026","Germany","Paraguay","10","4","6","2","4","2","0","1","0","0","0","1"
"121890","29-06-26 19:00","World","World Cup - Final phase","2026","Brazil","Japan","6","2","2","2","4","0","2","3","1","2","1","1"
"121887","28-06-26 21:00","World","World Cup - Final phase","2026","South Africa","Canada","1","4","1","3","0","1","0","2","0","0","0","2"
"121880","28-06-26 04:00","World","World Cup - Final phase","2026","Jordan","Argentina","2","6","1","2","1","4","3","0","1","0","2","0"
"121879","28-06-26 04:00","World","World Cup - Final phase","2026","Algeria","Austria","0","3","0","2","0","1","0","1","0","1","0","0"
"121882","28-06-26 01:30","World","World Cup - Final phase","2026","D.R. Congo","Uzbekistan","2","4","1","3","1","1","3","2","2","1","1","1"
"121881","28-06-26 01:30","World","World Cup - Final phase","2026","Colombia","Portugal","5","2","1","0","4","2","1","0","0","0","1","0"
"121884","27-06-26 23:00","World","World Cup - Final phase","2026","Panama","England","3","7","1","5","2","2","2","1","0","0","2","1"
"121883","27-06-26 23:00","World","World Cup - Final phase","2026","Croatia","Ghana","3","2","0","0","3","2","1","1","0","0","1","1"
"121867","27-06-26 05:00","World","World Cup - Final phase","2026","Egypt","Iran","8","2","4","0","4","2","3","4","2","2","1","2"
"121868","27-06-26 05:00","World","World Cup - Final phase","2026","New Zealand","Belgium","5","8","1","4","4","4","2","0","0","0","2","0"
"121870","27-06-26 02:00","World","World Cup - Final phase","2026","Uruguay","Spain","1","6","0","5","1","1","3","1","0","0","3","1"
"121869","27-06-26 02:00","World","World Cup - Final phase","2026","Cape Verde","Saudi Arabia","4","2","2","0","2","2","1","3","1","1","0","2"
"121872","26-06-26 21:00","World","World Cup - Final phase","2026","Senegal","Iraq","12","3","6","3","6","0","2","2","1","0","1","2"
"121871","26-06-26 21:00","World","World Cup - Final phase","2026","Norway","France","4","5","1","3","3","2","1","1","1","0","0","1"
"121862","26-06-26 04:00","World","World Cup - Final phase","2026","Turkey","USA","2","9","2","5","0","4","0","1","0","1","0","0"
"121861","26-06-26 04:00","World","World Cup - Final phase","2026","Paraguay","Australia","1","3","0","3","1","0","1","1","0","0","1","1"
"121864","26-06-26 01:00","World","World Cup - Final phase","2026","Tunisia","Netherlands","4","6","1","3","3","3","0","0","0","0","0","0"
"121863","26-06-26 01:00","World","World Cup - Final phase","2026","Japan","Sweden","2","8","1","3","1","5","1","2","0","1","1","1"
"121865","25-06-26 22:00","World","World Cup - Final phase","2026","Curacao","Ivory Coast","4","6","3","2","1","4","2","1","0","1","2","0"
"121866","25-06-26 22:00","World","World Cup - Final phase","2026","Ecuador","Germany","3","2","1","1","2","1","3","1","1","1","2","0"
"121856","25-06-26 03:00","World","World Cup - Final phase","2026","South Africa","South Korea","4","6","4","2","0","4","1","1","0","0","1","1"
"121855","25-06-26 03:00","World","World Cup - Final phase","2026","Czech Republic","Mexico","5","1","0","0","5","1","0","1","0","0","0","1"
"121858","25-06-26 00:00","World","World Cup - Final phase","2026","Scotland","Brazil","7","6","3","3","4","3","1","2","0","0","1","2"
"121857","25-06-26 00:00","World","World Cup - Final phase","2026","Morocco","Haiti","9","1","3","0","6","1","0","3","0","0","0","3"
"121860","24-06-26 21:00","World","World Cup - Final phase","2026","Switzerland","Canada","2","7","2","1","0","6","1","2","1","1","0","1"
"121859","24-06-26 21:00","World","World Cup - Final phase","2026","Bosnia & Herzegovina","Qatar","5","5","4","1","1","4","1","1","0","0","1","1"
"121850","24-06-26 04:00","World","World Cup - Final phase","2026","Colombia","D.R. Congo","5","4","2","2","3","2","2","1","0","0","2","1"
"121851","24-06-26 01:00","World","World Cup - Final phase","2026","Panama","Croatia","7","2","0","1","7","1","1","1","0","0","1","1"
"121852","23-06-26 22:00","World","World Cup - Final phase","2026","England","Ghana","9","2","3","1","6","1","1","1","1","0","0","1"
"121853","23-06-26 19:00","World","World Cup - Final phase","2026","Portugal","Uzbekistan","3","2","1","0","2","2","1","1","0","1","1","0"
"121846","23-06-26 05:00","World","World Cup - Final phase","2026","Jordan","Algeria","1","10","0","3","1","7","1","1","0","1","1","0"
"121847","23-06-26 02:00","World","World Cup - Final phase","2026","Norway","Senegal","5","4","4","1","1","3","0","0","0","0","0","0"
"121848","22-06-26 23:00","World","World Cup - Final phase","2026","France","Iraq","4","2","1","1","3","1","0","1","0","1","0","0"
"121849","22-06-26 19:00","World","World Cup - Final phase","2026","Argentina","Austria","1","3","0","2","1","1","2","2","0","1","2","1"
"121842","22-06-26 03:00","World","World Cup - Final phase","2026","New Zealand","Egypt","4","3","1","1","3","2","2","1","2","1","0","0"
"121843","22-06-26 00:00","World","World Cup - Final phase","2026","Uruguay","Cape Verde","11","4","4","1","7","3","2","2","1","1","1","1"
"121844","21-06-26 21:00","World","World Cup - Final phase","2026","Belgium","Iran","4","2","2","1","2","1","1","1","1","1","0","0"
"121845","21-06-26 18:00","World","World Cup - Final phase","2026","Spain","Saudi Arabia","6","1","4","1","2","0","0","2","0","1","0","1"
"121838","21-06-26 06:00","World","World Cup - Final phase","2026","Tunisia","Japan","3","5","1","2","2","3","0","0","0","0","0","0"
"121839","21-06-26 02:00","World","World Cup - Final phase","2026","Ecuador","Curacao","9","0","1","0","8","0","1","5","1","1","0","4"
