"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"121898","03-07-26 05:00","World","World Cup - Final phase","2026","Switzerland","Algeria","1.95","3.18","4.91","1.07","8.51","1.32","3.41","2.06","1.82","3.43","1.31","7.30","1.09","1.79","2.02"
"121899","03-07-26 01:00","World","World Cup - Final phase","2026","Portugal","Croatia","1.70","3.66","5.95","1.03","11.70","1.23","4.25","1.77","2.13","2.62","1.49","4.82","1.18","1.69","2.17"
"121900","02-07-26 21:00","World","World Cup - Final phase","2026","Spain","Austria","1.35","5.09","10.80","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","1.98","1.83"
"121894","02-07-26 02:00","World","World Cup - Final phase","2026","USA","Bosnia & Herzegovina","1.35","5.36","9.66","1.02","14.50","1.18","4.79","1.55","2.45","2.45","1.55","4.30","1.22","1.87","1.94"
"121895","01-07-26 22:00","World","World Cup - Final phase","2026","Belgium","Senegal","2.01","3.49","4.06","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","1.58","2.39"
"121896","01-07-26 18:00","World","World Cup - Final phase","2026","England","D.R. Congo","1.30","5.32","14.00","1.03","11.70","1.28","3.72","1.84","2.03","3.12","1.37","5.76","1.14","2.41","1.57"
"121891","01-07-26 03:00","World","World Cup - Final phase","2026","Mexico","Ecuador","2.26","2.75","4.44","1.18","4.79","1.70","2.23","3.12","1.37","6.57","1.11","12.20","1.03","2.39","1.58"
"121892","30-06-26 23:00","World","World Cup - Final phase","2026","France","Sweden","1.30","5.86","10.90","1.02","18.50","1.12","6.38","1.41","2.93","2.06","1.82","3.33","1.33","1.70","2.14"
"121893","30-06-26 19:00","World","World Cup - Final phase","2026","Ivory Coast","Norway","3.97","3.43","2.05","1.03","11.70","1.23","4.25","1.77","2.13","2.79","1.44","5.31","1.16","1.63","2.29"
"121888","30-06-26 03:00","World","World Cup - Final phase","2026","Netherlands","Morocco","2.30","3.16","3.58","1.06","9.57","1.32","3.41","2.06","1.82","3.43","1.31","7.30","1.09","1.73","2.10"
"121889","29-06-26 22:30","World","World Cup - Final phase","2026","Germany","Paraguay","1.35","5.12","10.30","1.02","13.80","1.20","4.61","1.60","2.34","2.45","1.55","4.30","1.22","1.90","1.90"
"121890","29-06-26 19:00","World","World Cup - Final phase","2026","Brazil","Japan","1.76","3.59","5.45","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","1.98","1.83"
"121887","28-06-26 21:00","World","World Cup - Final phase","2026","South Africa","Canada","5.43","3.32","1.83","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","1.92","1.88"
"121880","28-06-26 04:00","World","World Cup - Final phase","2026","Jordan","Argentina","23.00","10.20","1.13","1.01","16.00","1.16","5.32","1.52","2.53","2.27","1.64","4.03","1.25","2.92","1.41"
"121879","28-06-26 04:00","World","World Cup - Final phase","2026","Algeria","Austria","3.79","2.09","3.46","1.20","4.61","1.55","2.45","2.95","1.40","5.31","1.16","11.50","1.04","1.98","1.83"
"121882","28-06-26 01:30","World","World Cup - Final phase","2026","D.R. Congo","Uzbekistan","1.67","3.88","5.71","1.06","9.47","1.33","3.37","2.18","1.73","3.77","1.27","7.37","1.09","2.02","1.80"
"121881","28-06-26 01:30","World","World Cup - Final phase","2026","Colombia","Portugal","4.34","3.98","1.82","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","1.63","2.29"
"121884","27-06-26 23:00","World","World Cup - Final phase","2026","Panama","England","18.90","8.99","1.15","1.01","20.00","1.12","6.32","1.36","3.16","1.98","1.88","3.15","1.36","2.24","1.65"
"121883","27-06-26 23:00","World","World Cup - Final phase","2026","Croatia","Ghana","1.86","3.17","5.59","1.09","7.37","1.42","2.90","2.29","1.63","4.34","1.22","8.58","1.07","2.14","1.71"
"121867","27-06-26 05:00","World","World Cup - Final phase","2026","Egypt","Iran","2.64","2.70","3.55","1.14","5.85","1.52","2.53","2.79","1.44","5.31","1.16","10.40","1.05","2.05","1.78"
