team,possession,shots_for,shots_against,sot_for,style
Paraguay,31,7.5,18.5,2.0,DEEP-BLOCK
Mexico,48,12.5,8.0,4.0,BALANCED
Croatia,50,9.2,12.8,4.2,BALANCED
Norway,50,11.0,14.8,5.0,BALANCED
Netherlands,53,11.5,11.5,5.5,BALANCED
Uruguay,55,16.3,8.3,4.3,DOMINANT/OPEN
Senegal,56,15.8,11.5,5.5,DOMINANT/OPEN
France,57,18.2,7.0,8.5,DOMINANT/OPEN
Canada,57,17.5,5.5,7.0,DOMINANT/OPEN
USA,57,13.0,8.2,4.2,DOMINANT/OPEN
Switzerland,58,14.0,8.0,5.8,DOMINANT/OPEN
Belgium,58,22.2,10.0,6.0,DOMINANT/OPEN
Brazil,58,15.0,10.0,6.5,DOMINANT/OPEN
Argentina,58,11.3,6.0,5.0,BALANCED
Colombia,60,19.7,9.3,6.3,DOMINANT/OPEN
Portugal,62,13.0,13.0,3.8,DOMINANT/OPEN
Morocco,62,14.5,8.2,5.0,DOMINANT/OPEN
England,64,18.5,8.0,6.8,DOMINANT/OPEN
Germany,65,16.8,7.8,6.2,DOMINANT/OPEN
Spain,68,19.5,4.8,6.5,DOMINANT/OPEN
