match_datetime,homeTeam,awayTeam,home_red_cards,away_red_cards,total_red_cards,red_card_players
2026-06-11 21:00:00,Mexico,South Africa,1,2,3,"Sphephelo Sithole (South Africa, 49'); Themba Zwane (South Africa, 84'); Cesar Montes (Mexico, 90+2')"
2026-06-12 04:00:00,South Korea,Czech Republic,0,0,0,
2026-06-12 21:00:00,Canada,Bosnia & Herzegovina,0,0,0,
2026-06-13 03:00:00,USA,Paraguay,0,0,0,
2026-06-13 21:00:00,Qatar,Switzerland,0,0,0,
2026-06-14 00:00:00,Brazil,Morocco,0,0,0,
2026-06-14 03:00:00,Haiti,Scotland,0,0,0,
2026-06-14 06:00:00,Australia,Turkey,0,0,0,
2026-06-14 19:00:00,Germany,Curacao,0,0,0,
2026-06-14 22:00:00,Netherlands,Japan,0,0,0,
2026-06-15 01:00:00,Ivory Coast,Ecuador,0,0,0,
2026-06-15 04:00:00,Sweden,Tunisia,0,0,0,
2026-06-15 18:00:00,Spain,Cape Verde,0,0,0,
2026-06-15 21:00:00,Belgium,Egypt,0,0,0,
2026-06-16 00:00:00,Saudi Arabia,Uruguay,0,0,0,
2026-06-16 03:00:00,Iran,New Zealand,0,0,0,
2026-06-16 21:00:00,France,Senegal,0,0,0,
2026-06-17 00:00:00,Iraq,Norway,0,0,0,
2026-06-17 03:00:00,Argentina,Algeria,0,0,0,
2026-06-17 06:00:00,Austria,Jordan,0,0,0,
2026-06-17 19:00:00,Portugal,D.R. Congo,0,0,0,
2026-06-17 22:00:00,England,Croatia,0,0,0,
2026-06-18 01:00:00,Ghana,Panama,0,0,0,
2026-06-18 04:00:00,Uzbekistan,Colombia,0,0,0,
2026-06-18 18:00:00,Czech Republic,South Africa,0,0,0,
2026-06-18 21:00:00,Switzerland,Bosnia & Herzegovina,0,1,1,Tarik Muharemović (Bosnia & Herzegovina)
2026-06-19 00:00:00,Canada,Qatar,0,2,2,"Homam Ahmed (Qatar, 33'); Assim Madibo (Qatar, 54')"
2026-06-19 03:00:00,Mexico,South Korea,0,0,0,
2026-06-19 21:00:00,USA,Australia,0,0,0,
2026-06-20 00:00:00,Scotland,Morocco,0,0,0,
2026-06-20 02:30:00,Brazil,Haiti,0,0,0,
2026-06-20 05:00:00,Turkey,Paraguay,0,1,1,"Miguel Almirón (Paraguay, before HT)"
2026-06-20 19:00:00,Netherlands,Sweden,0,0,0,
2026-06-20 22:00:00,Germany,Ivory Coast,0,0,0,
2026-06-21 02:00:00,Ecuador,Curacao,0,0,0,
2026-06-21 06:00:00,Tunisia,Japan,0,0,0,
2026-06-21 18:00:00,Spain,Saudi Arabia,0,0,0,
2026-06-21 21:00:00,Belgium,Iran,1,0,1,"Nathan Ngoy (Belgium, 67')"
2026-06-22 00:00:00,Uruguay,Cape Verde,0,0,0,
2026-06-22 03:00:00,New Zealand,Egypt,0,0,0,
2026-06-22 19:00:00,Argentina,Austria,0,0,0,
2026-06-22 23:00:00,France,Iraq,0,0,0,
2026-06-23 02:00:00,Norway,Senegal,0,0,0,
2026-06-23 05:00:00,Jordan,Algeria,0,0,0,
2026-06-23 19:00:00,Portugal,Uzbekistan,0,0,0,
2026-06-23 22:00:00,England,Ghana,0,0,0,
2026-06-24 01:00:00,Panama,Croatia,0,0,0,
2026-06-24 04:00:00,Colombia,D.R. Congo,0,0,0,
2026-06-24 21:00:00,Bosnia & Herzegovina,Qatar,0,0,0,
2026-06-24 21:00:00,Switzerland,Canada,0,0,0,
2026-06-25 00:00:00,Scotland,Brazil,0,0,0,
2026-06-25 00:00:00,Morocco,Haiti,0,0,0,
2026-06-25 03:00:00,South Africa,South Korea,0,0,0,
2026-06-25 03:00:00,Czech Republic,Mexico,0,0,0,
2026-06-25 22:00:00,Curacao,Ivory Coast,0,0,0,
2026-06-25 22:00:00,Ecuador,Germany,0,0,0,
2026-06-26 01:00:00,Japan,Sweden,0,0,0,
2026-06-26 01:00:00,Tunisia,Netherlands,0,0,0,
2026-06-26 04:00:00,Paraguay,Australia,0,0,0,
2026-06-26 04:00:00,Turkey,USA,0,0,0,
2026-06-26 21:00:00,Senegal,Iraq,0,1,1,"Rebin Sulaka (Iraq, 13')"
2026-06-26 21:00:00,Norway,France,0,0,0,
2026-06-27 02:00:00,Uruguay,Spain,1,0,1,Agustín Canobbio (Uruguay)
2026-06-27 02:00:00,Cape Verde,Saudi Arabia,0,0,0,
2026-06-27 05:00:00,Egypt,Iran,0,0,0,
2026-06-27 05:00:00,New Zealand,Belgium,0,0,0,
2026-06-27 23:00:00,Croatia,Ghana,0,0,0,
2026-06-27 23:00:00,Panama,England,0,0,0,
2026-06-28 01:30:00,Colombia,Portugal,0,0,0,
2026-06-28 01:30:00,D.R. Congo,Uzbekistan,0,0,0,
2026-06-28 04:00:00,Jordan,Argentina,0,0,0,
2026-06-28 04:00:00,Algeria,Austria,0,0,0,
2026-06-28 21:00:00,South Africa,Canada,0,0,0,
2026-06-29 19:00:00,Brazil,Japan,0,0,0,
2026-06-29 22:30:00,Germany,Paraguay,0,0,0,
2026-06-30 03:00:00,Netherlands,Morocco,0,0,0,
2026-06-30 19:00:00,Ivory Coast,Norway,0,0,0,
2026-06-30 23:00:00,France,Sweden,0,0,0,
2026-07-01 03:00:00,Mexico,Ecuador,0,1,1,"Piero Hincapié (Ecuador, stoppage time)"
2026-07-01 18:00:00,England,D.R. Congo,0,0,0,
2026-07-01 22:00:00,Belgium,Senegal,0,0,0,
2026-07-02 02:00:00,USA,Bosnia & Herzegovina,1,0,1,"Folarin Balogun (USA, 64')"
