match,team,player_name,status,start_probability,expected_start_minutes,sub_probability,expected_sub_minutes,confirmed,timestamp
Croatia vs Panama,Croatia,Luka Modric,starter,1.0,85,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Croatia,Petar Musa,starter,1.0,80,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Croatia,Ivan Perisic,starter,1.0,80,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Croatia,Marco Pasalic,starter,1.0,75,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Croatia,Martin Baturina,starter,1.0,75,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Croatia,Mateo Kovacic,starter,1.0,85,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Croatia,Luka Sucic,sub,0.0,0,0.5,25,1,2026-06-23T20:00:00Z
Croatia vs Panama,Panama,Jose Fajardo,starter,1.0,80,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Panama,Yoel Barcenas,starter,1.0,80,0.0,0,1,2026-06-23T20:00:00Z
Croatia vs Panama,Panama,Jose Luis Rodriguez,starter,1.0,75,0.0,0,1,2026-06-23T20:00:00Z
