match,team,player_name,status,start_probability,expected_start_minutes,sub_probability,expected_sub_minutes,confirmed,timestamp
Türkiye vs Paraguay,Türkiye,Uğurcan Çakır,starter,1.0,90,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Merih Demiral,starter,1.0,88,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Kerem Aktürkoğlu,starter,1.0,76,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Arda Güler,starter,1.0,80,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Hakan Çalhanoğlu,starter,1.0,84,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Kenan Yıldız,starter,1.0,78,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Abdülkerim Bardakcı,starter,1.0,88,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,İsmail Yüksek,starter,1.0,78,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Mert Müldür,starter,1.0,82,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Yunus Akgün,starter,1.0,76,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Ferdi Kadıoğlu,starter,1.0,84,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Türkiye,Orkun Kökçü,substitute,0.0,0,0.55,30,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Orlando Gill,starter,1.0,90,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Omar Alderete,starter,1.0,88,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Juan Cáceres,starter,1.0,84,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Junior Alonso,starter,1.0,86,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Diego Gómez,starter,1.0,82,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Miguel Almirón,starter,1.0,82,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Andrés Cubas,starter,1.0,82,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Gustavo Gómez,starter,1.0,88,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Julio Enciso,starter,1.0,82,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Matías Galarza,starter,1.0,78,0.0,0,1,2026-06-19T21:00:00Z
Türkiye vs Paraguay,Paraguay,Isidro Pitta,starter,1.0,78,0.0,0,1,2026-06-19T21:00:00Z
