match,team,player_name,status,start_probability,expected_start_minutes,sub_probability,expected_sub_minutes,confirmed,timestamp
USA vs Australia,USA,Matthew Freese,starter,1.0,90,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Sergiño Dest,starter,1.0,82,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Chris Richards,starter,1.0,86,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Tyler Adams,starter,1.0,76,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Antonee Robinson,starter,1.0,84,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Weston McKennie,starter,1.0,82,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Ricardo Pepi,starter,1.0,72,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Tim Ream,starter,1.0,86,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Alexander Freeman,starter,1.0,76,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Malik Tillman,starter,1.0,78,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,USA,Folarin Balogun,starter,1.0,76,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Patrick Beach,starter,1.0,90,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Alessandro Circati,starter,1.0,86,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Jacob Italiano,starter,1.0,78,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Jordan Bos,starter,1.0,82,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Harry Souttar,starter,1.0,90,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Cameron Burgess,starter,1.0,86,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Aiden O'Neill,starter,1.0,78,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Paul Okon-Engstler,starter,1.0,70,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Mathew Leckie,starter,1.0,72,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Mohamed Touré,starter,1.0,72,0.0,0,1,2026-06-19T14:00:00Z
USA vs Australia,Australia,Nishan Velupillay,starter,1.0,72,0.0,0,1,2026-06-19T14:00:00Z
