team,statshub_team_id,confederation
Australia,4741,AFC
Iran,4766,AFC
Iraq,4767,AFC
Japan,4770,AFC
Jordan,4771,AFC
Qatar,4792,AFC
Saudi Arabia,4834,AFC
South Korea,4735,AFC
Uzbekistan,4723,AFC
Algeria,4691,CAF
Cape Verde,4753,CAF
Côte d'Ivoire,4768,CAF
DR Congo,4823,CAF
Egypt,4758,CAF
Ghana,4764,CAF
Morocco,4778,CAF
Senegal,4739,CAF
South Africa,4736,CAF
Tunisia,4729,CAF
Canada,4752,CONCACAF
Curaçao,55827,CONCACAF
Haiti,7229,CONCACAF
Mexico,4781,CONCACAF
Panama,5164,CONCACAF
USA,4724,CONCACAF
Argentina,4819,CONMEBOL
Brazil,4748,CONMEBOL
Colombia,4820,CONMEBOL
Ecuador,4757,CONMEBOL
Paraguay,4789,CONMEBOL
Uruguay,4725,CONMEBOL
New Zealand,4784,OFC
Austria,4718,UEFA
Belgium,4717,UEFA
Bosnia & Herzegovina,4479,UEFA
Croatia,4715,UEFA
Czechia,4714,UEFA
England,4713,UEFA
France,4481,UEFA
Germany,4711,UEFA
Netherlands,4705,UEFA
Norway,4475,UEFA
Portugal,4704,UEFA
Scotland,4695,UEFA
Spain,4698,UEFA
Sweden,4688,UEFA
Switzerland,4699,UEFA
Türkiye,4700,UEFA
