team,confederation,aliases
Afghanistan,AFC,
Albania,UEFA,
Algeria,CAF,
Andorra,UEFA,
Angola,CAF,
Argentina,CONMEBOL,
Armenia,UEFA,
Aruba,CONCACAF,
Australia,AFC,
Austria,UEFA,
Azerbaijan,UEFA,
Bahrain,AFC,
Bangladesh,AFC,
Barbados,CONCACAF,
Belarus,UEFA,
Belgium,UEFA,
Benin,CAF,
Bermuda,CONCACAF,
Bolivia,CONMEBOL,
Bosnia and Herzegovina,UEFA,Bosnia;Bosnia & Herzegovina
Brazil,CONMEBOL,
Bulgaria,UEFA,
Burkina Faso,CAF,
Burundi,CAF,
Cambodia,AFC,
Cameroon,CAF,
Canada,CONCACAF,
Cape Verde,CAF,Cabo Verde
Cayman Islands,CONCACAF,
Central African Republic,CAF,
Chad,CAF,
Chile,CONMEBOL,
China,AFC,China PR
Chinese Taipei,AFC,Taiwan
Colombia,CONMEBOL,Columbia
Comoros,CAF,
Congo Republic,CAF,Republic of the Congo;Congo
Costa Rica,CONCACAF,
Croatia,UEFA,
Croatia U23,UEFA,
Cuba,CONCACAF,
Curaçao,CONCACAF,Curacao
Cyprus,UEFA,
Czechia,UEFA,Czech Republic
Côte d'Ivoire,CAF,Ivory Coast;Cote d'Ivoire
Denmark,UEFA,
DR Congo,CAF,Congo DR;Democratic Republic of the Congo;Congo-Kinshasa
Ecuador,CONMEBOL,
Egypt,CAF,
El Salvador,CONCACAF,
England,UEFA,
Equatorial Guinea,CAF,
Estonia,UEFA,
Eswatini,CAF,Swaziland
Ethiopia,CAF,
Faroe Islands,UEFA,
Finland,UEFA,
France,UEFA,
Gabon,CAF,
Gambia,CAF,
Georgia,UEFA,
Germany,UEFA,
Ghana,CAF,
Gibraltar,UEFA,
Greece,UEFA,
Grenada,CONCACAF,
Guadeloupe,CONCACAF,
Guatemala,CONCACAF,
Guinea,CAF,
Guinea-Bissau,CAF,
Guyana,CONCACAF,
Haiti,CONCACAF,
Honduras,CONCACAF,
Hungary,UEFA,
Iceland,UEFA,
India,AFC,
Indonesia,AFC,
Iran,AFC,
Iraq,AFC,
Ireland,UEFA,Republic of Ireland
Israel,UEFA,
Italy,UEFA,
Jamaica,CONCACAF,
Japan,AFC,
Jordan,AFC,
Kazakhstan,UEFA,
Kenya,CAF,
Kosovo,UEFA,
Kuwait,AFC,
Kyrgyzstan,AFC,
Latvia,UEFA,
Lebanon,AFC,
Lesotho,CAF,
Liberia,CAF,
Liechtenstein,UEFA,
Lithuania,UEFA,
Luxembourg,UEFA,
Madagascar,CAF,
Malawi,CAF,
Malaysia,AFC,
Mali,CAF,
Malta,UEFA,
Martinique,CONCACAF,
Mauritania,CAF,
Mexico,CONCACAF,
Moldova,UEFA,
Montenegro,UEFA,
Montserrat,CONCACAF,
Morocco,CAF,
Mozambique,CAF,
Namibia,CAF,
Nepal,AFC,
Netherlands,UEFA,Netherland;Holland
New Zealand,OFC,
Nicaragua,CONCACAF,
Niger,CAF,
Nigeria,CAF,
North Korea,AFC,Korea DPR;DPR Korea
North Macedonia,UEFA,
Northern Ireland,UEFA,
Norway,UEFA,
Oman,AFC,
Palestine,AFC,
Panama,CONCACAF,
Paraguay,CONMEBOL,
Peru,CONMEBOL,
Poland,UEFA,
Portugal,UEFA,
Puerto Rico,CONCACAF,
Qatar,AFC,
Romania,UEFA,
Russia,UEFA,
Rwanda,CAF,
Saint Kitts and Nevis,CONCACAF,St Kitts and Nevis;St. Kitts and Nevis
Saint Lucia,CONCACAF,
San Marino,UEFA,
Saudi Arabia,AFC,Saudi
Scotland,UEFA,
Senegal,CAF,
Serbia,UEFA,
Seychelles,CAF,
Sierra Leone,CAF,
Sint Maarten,CONCACAF,
Slovakia,UEFA,
Slovenia,UEFA,
South Africa,CAF,
South Korea,AFC,Korea Republic;Republic of Korea
South Sudan,CAF,
Spain,UEFA,
Sri Lanka,AFC,
Suriname,CONCACAF,
Sweden,UEFA,
Switzerland,UEFA,
Syria,AFC,
Tajikistan,AFC,
Tanzania,CAF,
Thailand,AFC,
Togo,CAF,
Trinidad and Tobago,CONCACAF,
Tunisia,CAF,
Turkmenistan,AFC,
Türkiye,UEFA,Turkey
Uganda,CAF,
Ukraine,UEFA,
United Arab Emirates,AFC,UAE
United States,CONCACAF,USA;US;United States of America
Uruguay,CONMEBOL,
Uzbekistan,AFC,
Venezuela,CONMEBOL,
Vietnam,AFC,Viet Nam
Wales,UEFA,
Zambia,CAF,
Zimbabwe,CAF,
